Name	RAJ2000	DEJ2000	[OW94]	Type	Note
181-247	05 35 18.08	-05 22 47.10	181-247	i	B
181-825	05 35 18.10	-05 28 25.04		i	RN
182-316	05 35 18.19	-05 23 31.55	182-316	d	B
182-413	05 35 18.22	-05 24 13.45	182-413	i	
183-439	05 35 18.28	-05 24 38.85	183-439	i	B
183-419	05 35 18.31	-05 24 18.85	183-419	i	
183-405	05 35 18.33	-05 24 04.85	183-405	d	FO,B
184-427	05 35 18.35	-05 24 26.85	184-427	i	B
184-520	05 35 18.44	-05 25 19.29	184-520	i	
187-314	05 35 18.68	-05 23 14.01	187-314	i	B
189-329	05 35 18.87	-05 23 28.85	189-329	i	
190-251	05 35 19.03	-05 22 50.65		i	B
191-232	05 35 19.13	-05 22 31.20		d	
191-350	05 35 19.06	-05 23 49.50	191-350	i	J
193-1659	05 35 19.25	-05 16 58.69		rn	
197-427	05 35 19.65	-05 24 26.70	197-427	i	RN
198-222	05 35 19.82	-05 22 21.55	198-222	i	
198-448	05 35 19.83	-05 24 47.95	198-448	i	
199-1508	05 35 19.89	-05 15 08.25		i	B
200-106	05 35 20.04	-05 21 05.99	200-106	i	
201-534	05 35 20.14	-05 25 33.84	201-534	i	
202-228	05 35 20.15	-05 22 28.30	202-228	i	B
203-504	05 35 20.26	-05 25 04.05	203-504	i	B
203-506	05 35 20.32	-05 25 05.55		d	RN
205-330	05 35 20.45	-05 23 29.96	205-330	i	B
205-052	05 35 20.52	-05 20 52.05	205-052	i	
205-421	05 35 20.53	-05 24 21.00	205-421	i	FO
206-446	05 35 20.62	-05 24 46.45	206-446	i	
208-122	05 35 20.83	-05 21 21.45	208-122	rn	
209-151	05 35 21.00	-05 21 52.30	209-151	i	B
210-225	05 35 21.03	-05 22 25.20		i	
212-557	05 35 21.15	-05 25 57.04	212-557	i	
212-400	05 35 21.19	-05 24 00.20		i	
212-260	05 35 21.24	-05 22 59.51	212-260	i	
213-533	05 35 21.28	-05 25 33.11		i	B
213-346	05 35 21.30	-05 23 46.10		i	B
215-652	05 35 21.45	-05 26 52.40		i	
215-317	05 35 21.49	-05 23 16.71	215-317	i	
215-106	05 35 21.55	-05 21 05.60	215-106	i	J
216-541	05 35 21.60	-05 25 40.70		i	
216-715	05 35 21.62	-05 27 14.65	216-715	i	
218-339	05 35 21.77	-05 23 39.30	218-339	i	
218-354	05 35 21.79	-05 23 53.90	218-354	d	EO,B
218-529	05 35 21.82	-05 25 28.46		i	B
218-306	05 35 21.84	-05 23 06.46		i	B
221-433	05 35 22.08	-05 24 32.95	221-433	i	
223-414	05 35 22.31	-05 24 14.25	223-414	i	B
224-728	05 35 22.37	-05 27 28.40	224-728	i	
228-548	05 35 22.83	-05 25 47.69	228-548	i	
230-536	05 35 23.02	-05 25 36.29		d	
231-460	05 35 23.05	-05 24 59.86	231-460	i	
231-502	05 35 23.16	-05 25 02.19	231-502	i	B
231-838	05 35 23.10	-05 28 37.34	231-838	i	J
232-453	05 35 23.22	-05 24 52.79	232-453	i	
234-853	05 35 23.40	-05 28 53.19		i	
236-527	05 35 23.59	-05 25 26.54	236-527	i	
237-627	05 35 23.66	-05 26 27.15	237-627	i	
238-334	05 35 23.80	-05 23 34.30	238-334	i	B
239-334	05 35 23.86	-05 23 34.05		d	EO,B
239-510	05 35 23.98	-05 25 09.94	239-510	i	
240-314	05 35 24.02	-05 23 13.85	240-314	i	B
242-519	05 35 24.22	-05 25 18.79	242-519	i	
244-440	05 35 24.38	-05 24 39.74	244-440	i	
245-632	05 35 24.45	-05 26 31.55	245-632	i	B
245-1910	05 35 24.48	-05 19 09.84		i	RN,B
245-502	05 35 24.51	-05 25 01.59	245-502	i	
247-436	05 35 24.69	-05 24 35.74	247-436	i	J
250-439	05 35 25.02	-05 24 38.49	250-439	i	
252-457	05 35 25.21	-05 24 57.34	252-457	i	
253-1536	05 35 25.30	-05 15 35.54		d	J,RN,B
254-412	05 35 25.37	-05 24 11.50	254-412	i	
255-512	05 35 25.52	-05 25 11.84		i	
262-521	05 35 26.18	-05 25 20.49	262-521	i	
264-532	05 35 26.42	-05 25 31.69	264-532	i	
266-558	05 35 26.62	-05 25 57.84		i	
280-931	05 35 27.96	-05 29 31.15		i	
280-1720	05 35 28.05	-05 17 20.33		d	FO
281-306	05 35 28.13	-05 23 06.45		d	FO
282-458	05 35 28.20	-05 24 58.19	282-458	i	J
282-614	05 35 28.20	-05 26 14.20		i	
284-439	05 35 28.40	-05 24 38.69		i	
294-757	05 35 29.43	-05 37 56.60		rn	
294-606	05 35 29.48	-05 26 06.63		d	RN
297-025	05 35 29.67	-05 30 24.75		i	
304-539	05 35 30.41	-05 25 38.63	304-539	i	
307-1807	05 35 30.70	-05 18 07.24	307-1807	i	
314-816	05 35 31.40	-05 28 16.48		i	
321-602	05 35 32.10	-05 26 01.94	321-602	d	EO
332-405	05 35 33.19	-05 24 04.74		d	
332-1605	05 35 33.20	-05 16 05.38	332-1605	i	
346-1553	05 35 34.62	-05 15 52.92		d	FO
347-1535	05 35 34.67	-05 15 34.88	347-1535	d	J
351-3349	05 35 35.13	-05 33 49.18		i	J
353-130	05 35 35.32	-05 21 29.59		j	J,B
473-245	05 35 47.34	-05 22 44.82		d	EO
