Source	xi	r0	N6	D'	R0'/D'	Rc'/R0'	\beta	*	i	R0/D	D	R0	R0/r0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)
168-328	0.4	0.043	4.00	6.64	0.155	1.2	0.015	*	50	0.11	10.33	1.14	26.51	4.5e-8	4.6e-8	0.98	1.46e14	8.61e13	1.70
168-328	0.6	0.043	4.00	6.64	0.155	1.4	0.015	**	35	0.11	8.11	0.89	20.70	7.4e-8	7.4e-8	1.00	1.46e14	1.40e14	1.04
168-328	0.4	0.043	4.00	6.64	0.155	1.5	0.02	**	30	0.12	7.67	0.92	21.40	6.9e-8	8.3e-8	0.83	1.46e14	1.56e14	0.94
169-338	0.8	0.043	1.40	16.47	0.06	1.3	0.0005	*	60	0.025	32.94	0.82	19.07	3.0e-8	4.5e-9	6.67	1.88e13	8.46e12	2.22
169-338	0.8	0.043	1.40	16.47	0.06	1.45	0.001	**	50	0.03	25.62	0.77	17.91	3.4e-8	7.4e-9	4.59	1.88e13	1.40e13	1.34
169-338	0.8	0.043	1.40	16.47	0.06	1.55	0.002	**	35	0.04	20.11	0.80	18.60	3.2e-8	1.2e-8	2.67	1.88e13	2.27e13	0.83
169-338	0.8	0.043	1.40	16.47	0.06	1.6	0.004		0	0.06	16.47	0.99	23.02	2.1e-8	1.8e-8	1.17	1.88e13	3.39e13	0.55
177-341	0.8	0.310	0.41	25.84	0.14	1.2	0.0005		75	0.025	99.84	2.50	8.06	5.0e-8	4.9e-10	102.04	1.12e13	9.21e11	12.16
177-341	0.8	0.310	0.41	25.84	0.14	1.3	0.001		70	0.03	75.55	2.27	7.32	6.0e-8	8.5e-10	70.59	1.12e13	1.61e12	6.96
177-341	0.6	0.310	0.41	25.84	0.14	1.2	0.005	*	54	0.065	43.96	2.86	9.23	3.8e-8	2.5e-9	15.20	1.12e13	4.75e12	2.36
177-341	0.4	0.310	0.41	25.84	0.14	1.25	0.01	*	45	0.08	36.54	2.92	9.42	3.6e-8	3.6e-9	10.00	1.12e13	6.88e12	1.63
177-341	0.2	0.310	0.41	25.84	0.14	1.25	0.015	**	35	0.11	31.54	3.47	11.19	2.6e-8	4.9e-9	5.31	1.12e13	9.23e12	1.21
177-341	0.1	0.310	0.41	25.84	0.14	1.25	0.02	**	25	0.12	28.51	3.42	11.03	2.7e-8	6.0e-9	4.50	1.12e13	1.13e13	0.99
180-331	0.4	0.185	0.48	25.12	0.06	1.3	0.002	**	30	0.04	29.01	1.16	6.27	9.6e-8	5.8e-9	16.55	9.28e12	1.09e13	0.85
180-331	0.4	0.185	0.48	25.12	0.07	1.3	0.003	**	30	0.05	29.01	1.45	7.84	6.2e-8	5.8e-9	10.69	9.28e12	1.09e13	0.85
180-331	0.4	0.185	0.48	25.12	0.07	1.2	0.003	**	45	0.05	35.53	1.78	9.62	4.1e-8	3.9e-9	10.51	9.28e12	7.27e12	1.28
180-331	0.8	0.185	0.48	25.12	0.05	1.3	0.0005	*	55	0.025	43.80	1.10	5.95	1.1e-7	2.5e-9	44.00	9.28e12	4.79e12	1.94
180-331	0.8	0.185	0.48	25.12	0.075	1.3	0.0005		65	0.025	59.44	1.49	8.05	5.8e-8	1.4e-9	41.43	9.28e12	2.60e12	3.57
